Id,Label,timeset,modularity_class,name,country,group
M133316,Karoline GRASWANDER-HAINZ,,1,Karoline GRASWANDER-HAINZ,Austria,S&D
M107041,Heinz K. BECKER,,2,Heinz K. BECKER,Austria,PPE
M125016,Claudia SCHMIDT,,2,Claudia SCHMIDT,Austria,PPE
M124935,Michel REIMON,,1,Michel REIMON,Austria,Verts/ALE
M125026,Angelika MLINAR,,2,Angelika MLINAR,Austria,ALDE
M125018,Eugen FREUND,,1,Eugen FREUND,Austria,S&D
M190713,Lukas MANDL,,2,Lukas MANDL,Austria,PPE
M96981,Franz OBERMAYR,,0,Franz OBERMAYR,Austria,ENF
M124934,Monika VANA,,1,Monika VANA,Austria,Verts/ALE
M96998,Evelyn REGNER,,1,Evelyn REGNER,Austria,S&D
M4246,Othmar KARAS,,2,Othmar KARAS,Austria,PPE
M97014,Karin KADENBACH,,1,Karin KADENBACH,Austria,S&D
M2278,Paul RÜBIG,,2,Paul RÜBIG,Austria,PPE
M96882,Elisabeth KÖSTINGER,,2,Elisabeth KÖSTINGER,Austria,PPE
M125001,Harald VILIMSKY,,0,Harald VILIMSKY,Austria,ENF
M97017,Ulrike LUNACEK,,1,Ulrike LUNACEK,Austria,Verts/ALE
M111014,Josef WEIDENHOLZER,,1,Josef WEIDENHOLZER,Austria,S&D
M38511,Georg MAYER,,0,Georg MAYER,Austria,ENF
M190464,Thomas WAITZ,,1,Thomas WAITZ,Austria,Verts/ALE
M125024,Barbara KAPPEL,,0,Barbara KAPPEL,Austria,ENF
