Id,name,country,group
M125112,Giorgos GRAMMATIKAKIS,Greece,S&D
M26851,Nikolaos CHOUNTIS,Greece,GUE/NGL
M125069,Notis MARIAS,Greece,ECR
M125092,Kostadinka KUNEVA,Greece,GUE/NGL
M125067,Theodoros ZAGORAKIS,Greece,PPE
M130833,Stelios KOULOGLOU,Greece,GUE/NGL
M125068,Manolis KEFALOGIANNIS,Greece,PPE
M125109,Eva KAILI,Greece,S&D
M28586,Dimitrios PAPADIMOULIS,Greece,GUE/NGL
M125090,Sotirios ZARIANOPOULOS,Greece,NI
M125091,Sofia SAKORAFA,Greece,GUE/NGL
M125065,Elissavet VOZEMBERG-VRIONIDI,Greece,PPE
M125113,Miltiadis KYRKOS,Greece,S&D
M125072,Eleftherios SYNADINOS,Greece,NI
M125063,Georgios KYRTSOS,Greece,PPE
M125064,Maria SPYRAKI,Greece,PPE
M125070,Lampros FOUNTOULIS,Greece,NI
M125093,Kostas PAPADAKIS,Greece,NI
M125061,Kostas CHRYSOGONOS,Greece,GUE/NGL
M125110,Nikos ANDROULAKIS,Greece,S&D
M125071,Georgios EPITIDEIOS,Greece,NI
